Temporada,Torneo, CLUB, TARJETA_AMARILLA, PUNTOS_TARJETA_AMARILLA, TARJETA_ROJA_X_SEGUNDA_AMARILLA, PUNTOS_TARJETA_ROJA_X_2DA_AMARILLA, TARJETA_ROJA_DIRECTA, PUNTOS_TARJETA_ROJA_DIRECTA, TOTAL_PUNTOS
'2024-2025','Apertura', 'America',18,18,0,0,1,3,21
'2024-2025','Apertura', 'Rayadas',22,22,1,3,0,0,25
'2024-2025','Apertura', 'Atlas',  23,23,1,3,0,0,26
'2024-2025','Apertura', 'Cruz Azul',17,17,2,6,1,3,26
'2024-2025','Apertura', 'Guadalajara',29,29,0,0,0,0,29
'2024-2025','Apertura', 'Tigres',28,28,0,0,1,3,31
'2024-2025','Apertura', 'Pumas',29,29,1,3,0,0,32
'2024-2025','Apertura', 'Santos Laguna',29,29,1,3,0,0,32
'2024-2025','Apertura', 'Tijuana',30,30,0,0,1,3,33
'2024-2025','Apertura', 'FC Juarez',26,26,2,6,1,3,35
'2024-2025','Apertura', 'Atletico de San Luis',36,36,0,0,0,0,36
'2024-2025','Apertura', 'Mazatlan FC',27,27,2,6,1,3,36
'2024-2025','Apertura', 'Queretaro',34,34,1,3,0,0,37
'2024-2025','Apertura', 'Puebla',32,32,2,6,0,0,38
'2024-2025','Apertura', 'Leon',32,32,2,6,1,3,41
'2024-2025','Apertura', 'Pachuca',40,40,0,0,1,3,43
'2024-2025','Apertura', 'Toluca',35,35,1,3,2,6,44
'2024-2025','Apertura', 'Necaxa',38,38,0,0,3,9,47
